==============================
      PARAGIN REPORT
==============================

STUDENT GRADES
---------------------------------------------
Student              Grade    Passed  
---------------------------------------------
Student 0001         3.2      No      
Student 0002         3.9      No      
Student 0003         4.5      No      
Student 0004         4.0      No      
Student 0005         5.5      Yes     
Student 0006         3.1      No      
Student 0007         3.5      No      
Student 0008         3.6      No      
Student 0009         3.2      No      
Student 0010         4.2      No      
Student 0011         4.6      No      
Student 0012         4.1      No      
Student 0013         3.1      No      
Student 0014         4.5      No      
Student 0015         2.6      No      
Student 0016         2.7      No      
Student 0017         1.8      No      
Student 0018         4.3      No      
Student 0019         3.9      No      
Student 0020         2.0      No      
Student 0021         3.5      No      
Student 0022         3.9      No      
Student 0023         5.7      Yes     
Student 0024         3.5      No      
Student 0025         3.3      No      
Student 0026         4.5      No      
Student 0027         5.2      No      
Student 0028         4.9      No      
Student 0029         6.5      Yes     
Student 0030         6.3      Yes     
Student 0031         3.9      No      
Student 0032         4.5      No      
Student 0033         5.1      No      
Student 0034         6.0      Yes     
Student 0035         4.5      No      
Student 0036         3.4      No      
Student 0037         5.3      No      
Student 0038         5.2      No      
Student 0039         7.3      Yes     
Student 0040         6.0      Yes     
Student 0041         4.2      No      
Student 0042         3.5      No      
Student 0043         2.9      No      
Student 0044         3.8      No      
Student 0045         3.7      No      
Student 0046         7.5      Yes     
Student 0047         4.6      No      
Student 0048         7.2      Yes     
Student 0049         4.8      No      
Student 0050         4.2      No      
Student 0051         4.7      No      
Student 0052         5.0      No      
Student 0053         5.4      No      
Student 0054         5.8      Yes     
Student 0055         4.9      No      
Student 0056         2.3      No      
Student 0057         4.5      No      
Student 0058         3.7      No      
Student 0059         4.3      No      
Student 0060         4.5      No      
Student 0061         5.1      No      
Student 0062         5.0      No      
Student 0063         4.8      No      
Student 0064         4.3      No      
Student 0065         4.2      No      
Student 0066         3.2      No      
Student 0067         6.3      Yes     
Student 0068         5.8      Yes     
Student 0069         3.2      No      
Student 0070         5.0      No      
Student 0071         3.7      No      
Student 0072         4.1      No      
Student 0073         4.3      No      
Student 0074         3.9      No      
Student 0075         3.6      No      
Student 0076         5.8      Yes     
Student 0077         3.7      No      
Student 0078         4.8      No      
Student 0079         6.3      Yes     
Student 0080         3.9      No      
Student 0081         5.8      Yes     
Student 0082         4.2      No      
Student 0083         4.9      No      
Student 0084         5.7      Yes     
Student 0085         5.7      Yes     
Student 0086         2.6      No      
Student 0087         1.9      No      
Student 0088         4.1      No      
Student 0089         4.3      No      
Student 0090         4.4      No      
Student 0091         6.0      Yes     
Student 0092         5.5      Yes     
Student 0093         4.6      No      
Student 0094         3.4      No      
Student 0095         4.1      No      
Student 0096         5.8      Yes     
Student 0097         6.7      Yes     
Student 0098         3.4      No      
Student 0099         5.7      Yes     
Student 0100         5.5      Yes     
Student 0101         6.3      Yes     
Student 0102         4.8      No      
Student 0103         5.7      Yes     
Student 0104         7.8      Yes     
Student 0105         4.1      No      
Student 0106         4.6      No      
Student 0107         4.9      No      
Student 0108         3.7      No      
Student 0109         4.3      No      
Student 0110         5.5      Yes     
Student 0111         4.3      No      
Student 0112         3.1      No      
Student 0113         3.7      No      
Student 0114         5.2      No      
Student 0115         1.5      No      
Student 0116         4.1      No      
Student 0117         5.7      Yes     
Student 0118         3.5      No      
Student 0119         4.5      No      
Student 0120         5.3      No      
Student 0121         4.9      No      
Student 0122         6.8      Yes     
Student 0123         3.9      No      
Student 0124         3.9      No      
Student 0125         2.9      No      
Student 0126         4.5      No      
Student 0127         4.6      No      
Student 0128         3.9      No      
Student 0129         4.1      No      
Student 0130         1.0      No      
Student 0131         3.6      No      
Student 0132         5.0      No      
Student 0133         2.2      No      
Student 0134         7.8      Yes     
